eventID,eventDate,year,month,day,decimalLatitude,decimalLongitude,maximumDepthInMeters,minimumDepthInMeters,footprintWKT,coordinateUncertaintyInMeters,geodeticDatum
IYS:GoA2020:Stn1:juday,2020-03-13T14:15:00Z,2020,3,13,48.37,-130.02,210,0,POINT  ( -130.02   48.37 ),0,WGS84
IYS:GoA2020:Stn4:juday,2020-03-16T04:32:00Z,2020,3,16,47.5,-138.48,200,0,POINT  ( -138.48   47.5 ),0,WGS84
IYS:GoA2020:Stn7:juday,2020-03-17T10:18:00Z,2020,3,17,47.43,-142.97,200,0,POINT  ( -142.97   47.43 ),0,WGS84
IYS:GoA2020:Stn9:juday,2020-03-18T04:24:00Z,2020,3,18,48.4,-144.33,200,0,POINT  ( -144.33   48.4 ),0,WGS84
IYS:GoA2020:Stn10:juday,2020-03-18T13:08:00Z,2020,3,18,48.42,-145.98,200,0,POINT  ( -145.98   48.42 ),0,WGS84
IYS:GoA2020:Stn11:juday,2020-03-18T21:33:00Z,2020,3,18,48.4,-147.48,200,0,POINT  ( -147.48   48.4 ),0,WGS84
IYS:GoA2020:Stn12:juday,2020-03-19T06:28:00Z,2020,3,19,49.4,-147.53,210,0,POINT  ( -147.53   49.4 ),0,WGS84
IYS:GoA2020:Stn13:juday,2020-03-19T17:35:00Z,2020,3,19,50.4,-147.5,200,0,POINT  ( -147.5   50.4 ),0,WGS84
IYS:GoA2020:Stn14:juday,2020-03-20T05:38:00Z,2020,3,20,51.4,-147.48,205,0,POINT  ( -147.48   51.4 ),0,WGS84
IYS:GoA2020:Stn15:juday,2020-03-20T14:15:00Z,2020,3,20,51.42,-146.02,200,0,POINT  ( -146.02   51.42 ),0,WGS84
IYS:GoA2020:Stn17:juday,2020-03-21T10:10:00Z,2020,3,21,50.4,-144.5,200,0,POINT  ( -144.5   50.4 ),0,WGS84
IYS:GoA2020:Stn18:juday,2020-03-21T20:21:00Z,2020,3,21,51.48,-144.52,205,0,POINT  ( -144.52   51.48 ),0,WGS84
IYS:GoA2020:Stn23:juday,2020-03-22T03:34:00Z,2020,3,22,51.47,-143.02,215,0,POINT  ( -143.02   51.47 ),0,WGS84
IYS:GoA2020:Stn25:juday,2020-03-22T07:55:00Z,2020,3,22,53.38,-140.05,215,0,POINT  ( -140.05   53.38 ),0,WGS84
IYS:GoA2020:Stn28:juday,2020-03-24T14:43:00Z,2020,3,24,54.4,-135.53,210,0,POINT  ( -135.53   54.4 ),0,WGS84
IYS:GoA2020:Stn29:juday,2020-03-24T22:41:00Z,2020,3,24,54.55,-134.03,200,0,POINT  ( -134.03   54.55 ),0,WGS84
IYS:GoA2020:Stn30:juday,2020-03-26T20:00:00Z,2020,3,26,54.4,-133.98,200,0,POINT  ( -133.98   54.4 ),0,WGS84
IYS:GoA2020:Stn31:juday,2020-03-27T05:19:00Z,2020,3,27,53.38,-134.03,205,0,POINT  ( -134.03   53.38 ),0,WGS84
IYS:GoA2020:Stn32:juday,2020-03-27T14:43:00Z,2020,3,27,53.42,-135.47,200,0,POINT  ( -135.47   53.42 ),0,WGS84
IYS:GoA2020:Stn33:juday,2020-03-27T23:09:00Z,2020,3,27,53.4,-137.03,200,0,POINT  ( -137.03   53.4 ),0,WGS84
