eventID,occurrenceID,occurrenceStatus,scientificName,scientificNameID,lifeStage,identificationQualifier,scientificNameAuthorship,taxonRank,taxonomicStatus,kingdom,phylum,class,order,family,genus,specificEpithet,basisOfRecord
IYS:GoA2020:Stn1:juday,IYS:GoA2020:Stn1:juday:zoop_occ:1,present,Oikopleura,urn:lsid:marinespecies.org:taxname:103367,,sp. indet,"Mertens, 1830",Genus,accepted,Animalia,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,NA,PreservedSpecimen
IYS:GoA2020:Stn1:juday,IYS:GoA2020:Stn1:juday:zoop_occ:2,present,Themisto pacifica,urn:lsid:marinespecies.org:taxname:254453,,,"(Stebbing, 1888)",Species,accepted,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Themisto,pacifica,PreservedSpecimen
IYS:GoA2020:Stn1:juday,IYS:GoA2020:Stn1:juday:zoop_occ:3,present,Cephalopoda,urn:lsid:marinespecies.org:taxname:11707,larvae,,"Cuvier, 1795",Class,accepted,Animalia,Mollusca,Cephalopoda,NA,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:Stn1:juday,IYS:GoA2020:Stn1:juday:zoop_occ:4,present,Decapoda,urn:lsid:marinespecies.org:taxname:1130,larvae,,"Latreille, 1802",Order,accepted,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:Stn1:juday,IYS:GoA2020:Stn1:juday:zoop_occ:5,present,Decapoda,urn:lsid:marinespecies.org:taxname:1130,,,"Latreille, 1802",Order,accepted,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,PreservedSpecimen
IYS:GoA2020:Stn1:juday,IYS:GoA2020:Stn1:juday:zoop_occ:6,present,Eucalanus bungii,urn:lsid:marinespecies.org:taxname:196775,,,"Giesbrecht, 1893",Species,accepted,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,bungii,PreservedSpecimen
IYS:GoA2020:Stn1:juday,IYS:GoA2020:Stn1:juday:zoop_occ:7,present,Neocalanus cristatus,urn:lsid:marinespecies.org:taxname:104470,,,"(Krøyer, 1848)",Species,accepted,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,cristatus,PreservedSpecimen
IYS:GoA2020:Stn1:juday,IYS:GoA2020:Stn1:juday:zoop_occ:8,present,Eucalanus elongatus,urn:lsid:marinespecies.org:taxname:149718,,,"(Dana, 1848)",Species,alternate representation,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,elongatus,PreservedSpecimen
IYS:GoA2020:Stn1:juday,IYS:GoA2020:Stn1:juday:zoop_occ:9,present,Amallothrix,urn:lsid:marinespecies.org:taxname:104221,,sp. indet,"Sars G.O., 1925",Genus,accepted,Animalia,Arthropoda,Copepoda,Calanoida,Scolecitrichidae,Amallothrix,NA,PreservedSpecimen
IYS:GoA2020:Stn1:juday,IYS:GoA2020:Stn1:juday:zoop_occ:10,present,Neocalanus plumchrus,urn:lsid:marinespecies.org:taxname:196772,,,"(Marukawa, 1921)",Species,accepted,Animalia,Arthropoda,Copepoda,Calanoida,Calanidae,Neocalanus,plumchrus,PreservedSpecimen
